label,Engagement_mean,Fear_trend,Disgust_trend,Contempt_trend,Surprise_trend,Sadness_trend,Sadness_mean,Anger_trend,Attention_trend,Sentimentality_trend,Confusion_std,Sadness_max,Neutral_trend,Joy_std,Confusion_trend,Gamma_TP9_slope,Confusion_mean,Theta_AF8_std,Delta_TP9_std,Gamma_AF8_std,Disgust_std,Delta_TP9_slope,Alpha_TP9_std,Beta_AF7_std,Fear_std,Sentimentality_max,Beta_AF7_slope,Contempt_max,Sentimentality_std,Anger_max,Beta_TP9_std,Beta_TP10_std,Surprise_std,Sentimentality_min,Delta_AF8_std,Attention_mean,Beta_AF8_std,RAW_AF7_mean,Delta_AF7_std,Attention_std,Gamma_TP9_std,RAW_AF8_slope,Anger_std,Contempt_std,Attention_max
Attention,0.3287661075592041,0.0044976130127906,-1.5183910727489816e-05,-0.0017221137881279,0.0028590977191925,-0.0006010577082634,0.1263823300600051,0.0013134568929672,-0.2319351196289119,-0.0067780930548906,0.000189047278967,0.1275163888931274,0.0034454345703139,1.535362762910258e-05,0.0001114141196012,-3.136720595205291e-05,0.0032276813406496,0.0699507054756453,0.1154685636676872,0.0273709002223589,2.781645288941828e-05,-0.0020475186130247,2.226312495535504e-15,0.0168155390950594,0.0072305239699712,0.0349104441702365,0.000290517745883,0.190553143620491,0.0112330019718755,0.1334673315286636,0.0323442730724468,4.229993741517457e-15,0.0052262746203563,0.0099084386602044,0.0566212862284949,97.67754821777343,0.0249667332831509,856.0574464736843,0.0807986905914212,0.5431085977894392,0.0067166638906708,-0.0379947499464191,0.0021409933797049,0.0027973143369673,98.45287322998048
Attention,0.3287661075592041,-0.0047021359205245,2.4462863802889728e-05,0.0017527729272842,-0.0020139016211032,0.0004843905568122,0.1264109015464782,-0.0014165371656417,0.2276840209960952,0.0056975277140736,0.000361860062102,0.1272094845771789,-0.0035079956054673,1.4415436066282193e-05,-0.0001817963318899,-0.0006280670147792,0.0031055305618792,0.1900515326926559,0.0593144531127154,0.0424088695536681,3.909273995787817e-05,0.0012310130326817,2.227331169803193e-15,0.0154768064867834,0.0082364571700394,0.030582146719098,0.0003224636215512,0.191320851445198,0.0102591051905424,0.1334673315286636,0.0173158958080162,3.1182636377244704e-15,0.0042227594550574,0.0096438955515623,0.1600086488618282,97.9502731323242,0.0310224514018921,854.2373233333334,0.2003209688727188,0.3811609476238378,0.0301835662556255,0.0066977440615558,0.0028360410233687,0.0029417937309483,98.30955505371092
Attention,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1264485344290732,0.0,0.0,0.0,0.0001952460087046,0.1270267218351364,0.0,3.1326750666029444e-06,0.0,-0.0007108571688444,0.0022690558689646,0.0056143211283042,0.0117939917098349,0.0437156455322426,7.25837531721732e-06,0.0002168666801388,0.0766679480815021,0.0241429681906145,0.0021400962972336,0.0279269516468048,0.0005109313191872,0.1912876963615417,0.0056628543026518,0.1286055892705917,0.0175044066246418,3.118384695380735e-15,0.002566966183306,0.0151929697021842,0.0100145575156276,98.23580932617188,0.0122510040025685,853.5929440625001,0.0261258476235327,0.0692078757678243,0.0346700237492756,0.0385611806808858,0.0006964036814396,0.0009808451523718,98.30955505371092
Attention,0.3287661075592041,-0.0007435709238052,-4.734098911299625e-06,0.0003166869282722,-0.0002526804804801,0.0001769140362739,0.1262054562568663,-0.0002916142344474,0.0323829650878849,-0.0012358404695987,0.0002153322735297,0.1266048699617385,-0.000634002685544,6.054570447600486e-06,-0.0001203534891828,-0.0004485518707012,0.0020988190080969,0.0033941478072569,0.0283159766412785,0.074143918992868,7.764867927154895e-06,0.0005647516230874,0.106297691913,0.0069534221851895,0.0013163685612844,0.0173067580908536,0.0001474483863705,0.1902018636465072,0.0025116706280347,0.1290036290884017,0.0295346306046506,2.8958169431994967e-15,0.0024230791661117,0.0119015974923968,0.0104825640427223,98.26531524658203,0.0260864081037491,850.4397901273885,0.0104823803874818,0.0653754075439561,0.0228128614281827,0.0009109915715181,0.000563284334607,0.0005348277051039,98.35734558105467
Attention,0.3287661075592041,-0.0004525616765022,-7.802061736580587e-06,0.0001976177096366,-0.0023948892951011,0.0001509457826614,0.1268532752990722,-0.0001308098435401,0.079935455322267,0.0054381303489208,0.000304633645557,0.1271614432334899,-0.0003974914550795,1.206936224210038e-05,0.0001867039827629,-2.348463003185308e-05,0.0021581097040324,0.0482290609556613,0.0289605280963913,0.0469340621099404,1.3126220053044743e-05,0.0005281667452625,0.053236360208743,0.0102682522726417,0.0007838971429478,0.0325895920395851,-0.000156403964768,0.1909470558166503,0.008767569927353,0.1278018951416015,0.0331156102726338,3.1182636377244704e-15,0.0038596427009554,0.0127010820433497,0.0619863307362047,98.47969512939451,0.0669164576936454,851.558580925926,0.0463074242002956,0.134815621927944,0.0012146612047529,-0.0094518051939071,0.0003153322591916,0.0003399269444971,98.61868286132812
Attention,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1269113235175609,0.0,0.0,0.0,0.0002364912041054,0.1271614432334899,0.0,3.037306031842035e-06,0.0,-0.0001831009391828,0.0021570196258834,0.1809159609304769,0.0237007709933145,0.0189115069689352,7.774088564371013e-06,-0.0005313973124704,0.0322528452260353,0.0251200638189333,0.0020578484122809,0.0325895920395851,-0.0005847347783026,0.19085294008255,0.0024475106406454,0.1286769658327102,0.0180458822449869,2.450956851672389e-15,0.0013286169089832,0.0272193029522895,0.2580268425701515,98.45865631103516,0.031593450216557,851.8476629655172,0.1447217205486839,0.1944866707074592,0.0080162083355646,-0.0010246477326404,0.0006075250233824,0.000933723915718,98.60794067382812
Attention,0.3287661075592041,-0.0006489440798759,4.266947507859318e-06,5.633234977723001e-05,-0.0004222519695758,-1.4965236186997857e-05,0.1262822031974791,-0.0005521431565284,-0.0012702941894573,-0.0015869945287704,0.0001515972865049,0.1263647675514221,-0.0001152038574289,6.1536563020030215e-06,-8.601184235886e-05,0.0003113622763365,0.0017810435965656,0.0181720866598446,0.0410715266961385,0.0113460740746812,7.361995843658877e-06,0.0008920511820437,0.0010247150910406,0.0485278655761644,0.0010649879927552,0.0327535532414913,-0.0010586934539009,0.1890617161989212,0.0043264841216763,0.1286769658327102,0.0048211834790824,2.8959367114623928e-15,0.000763878879937,0.0208158604800701,0.0678358781096701,98.24076538085936,0.0234676606946849,851.0877879354838,0.054393412761071,0.098403112680495,0.0163379732067218,0.0191135470980631,0.0008794411580841,0.000197575385347,98.3994598388672
Attention,0.3287661075592041,-0.000334483385086,3.1800940632802786e-06,0.0002200245857238,0.0002549342811107,4.4561922550209744e-05,0.1265873134136199,0.000205747783184,0.0290756225586022,0.0018216496333479,0.0001228380459761,0.1267493516206741,-0.0004386901855397,3.926616213568663e-06,5.885951686651998e-05,0.0001996137840792,0.0017026441171764,0.0360173351672407,0.0177109460585346,0.0066720055787776,6.177654445054214e-06,-0.0003582349486821,0.0175868003670947,0.0285474216908067,0.0007249547844225,0.0327235274016857,-0.0006356132347215,0.190227136015892,0.0058584427505392,0.1273086369037628,0.0108383723608093,2.673461700382456e-15,0.0006251271529761,0.0165153425186872,0.0100268383256981,98.35403137207032,0.0084230919243694,845.3211197333335,0.0628354991689853,0.1460318640757781,0.0125976724594887,-0.2688793360949375,0.0004420164457387,0.0004767579210279,98.57939910888672
Attention,0.3287661075592041,0.0,0.0,0.0,0.0,0.0,0.1248427797108888,0.0,0.0,0.0,0.0003557069348475,0.1265323609113693,0.0,1.139080270923736e-05,0.0,-0.0001758074828115,0.0013262802385724,0.1038869855267237,0.0912290600895863,0.0073503040267941,3.7670484665717705e-06,0.0019489555704317,0.0504180013593745,0.015906031804839,0.0067034002713759,0.0262573324143886,0.0001074069150452,0.1901004314422607,0.0083080675432792,0.1296761035919189,0.0189186548402413,2.673343664147586e-15,0.0071821873780166,0.0076265432871878,0.283347531325175,98.40425682067873,0.0304049662306849,846.4030169736843,0.2462828300339828,0.0773731335058321,0.0109020437770443,0.1938254215788791,0.0012858337699331,0.0033383809035625,98.4923095703125
Attention,0.3287661075592041,-0.0028475403785705,-9.46037471289546e-07,0.0017849951982498,-0.0017174519598484,0.0008163921535015,0.1242667227983474,-5.897134542466043e-05,0.0404548645019531,0.0007565652020275,0.0001559038647296,0.1258169412612915,-0.0035720825195411,2.6306925523904125e-06,-9.443144663236002e-05,0.0,0.0006888174451887,0.140199180549435,0.0723409878271136,0.0060983971620362,3.910794381126234e-06,0.0,0.0346383904968584,0.0549960719158803,0.0045867781374299,0.0177147686481475,0.0,0.1885203719139099,0.0019737838993953,0.1300689578056335,0.0048002066102098,2.8958169431994967e-15,0.0029116099510496,0.0129426913335919,0.1693262390396892,98.50957794189452,0.0384504260530193,852.2491257961783,0.091522093254585,0.0888967919294554,0.0186383499149643,0.0,0.000326117687157,0.0028765125466673,98.65956115722656
